nnn_integration eDensity(n1_hsm) X,nnn_integration eDensity(n1_hsm) Y
0,1.5335527e+09
0.01,2.2569135e+09
0.02,3.3201074e+09
0.03,4.8829195e+09
0.04,7.1777641e+09
0.05,1.0543389e+10
0.06,1.5470591e+10
0.07,2.2665204e+10
0.08,3.3131469e+10
0.09,4.8276287e+10
0.1,7.0027788e+10
0.11,1.0094809e+11
0.12,1.4429981e+11
0.13,2.0400556e+11
0.14,2.844378e+11
0.15,3.9001727e+11
0.16,5.2468674e+11
0.17,6.9141688e+11
0.18,8.9191364e+11
0.19,1.1266062e+12
0.2,1.3948646e+12
0.21,1.6953239e+12
0.22,2.0261998e+12
0.23,2.3855335e+12
0.24,2.7713534e+12
0.25,3.1817673e+12
0.26,3.6150064e+12
0.27,4.0694395e+12
0.28,4.5435715e+12
0.29,5.0360353e+12
0.3,5.5455792e+12
0.31,6.0710561e+12
0.32,6.6114123e+12
0.33,7.1656782e+12
0.34,7.7329599e+12
0.35,8.312432e+12
0.36,8.9033317e+12
0.37,9.504953e+12
0.38,1.0116642e+13
0.39,1.0737794e+13
0.4,1.1367846e+13
0.41,1.2006279e+13
0.42,1.2652607e+13
0.43,1.3306382e+13
0.44,1.3967187e+13
0.45,1.4634633e+13
0.46,1.530836e+13
0.47,1.5988031e+13
0.48,1.6673333e+13
0.49,1.7363975e+13
0.5,1.8059683e+13
0.51,1.8760203e+13
0.52,1.9465299e+13
0.53,2.0174747e+13
0.54,2.0888339e+13
0.55,2.1605882e+13
0.56,2.2327191e+13
0.57,2.3052096e+13
0.58,2.3780436e+13
0.59,2.451206e+13
0.6,2.5246825e+13
0.61,2.5984598e+13
0.62,2.6725252e+13
0.63,2.7468669e+13
0.64,2.8214736e+13
0.65,2.8963347e+13
0.66,2.9714403e+13
0.67,3.0467808e+13
0.68,3.1223473e+13
0.69,3.1981312e+13
0.7,3.2741247e+13
0.71,3.3503199e+13
0.72,3.4267097e+13
0.73,3.5032872e+13
0.74,3.5800459e+13
0.75,3.6569794e+13
0.76,3.7340819e+13
0.77,3.8113478e+13
0.78,3.8887716e+13
0.79,3.9663483e+13
0.8,4.0440729e+13
0.81,4.1219407e+13
0.82,4.1999474e+13
0.83,4.2780886e+13
0.84,4.3563602e+13
0.85,4.4347584e+13
0.86,4.5132794e+13
0.87,4.5927641e+13
0.88,4.6715093e+13
0.89,4.7503672e+13
0.9,4.8293347e+13
0.91,4.9084087e+13
0.92,4.9875864e+13
0.93,5.0668648e+13
0.94,5.1462414e+13
0.95,5.2257135e+13
0.96,5.3052786e+13
0.97,5.3849344e+13
0.98,5.4646785e+13
0.99,5.5445086e+13
1,5.6244227e+13

